epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.63,1.29778,2.51468,1.17123,0.91863,0.82178,0.91976,0.54376,0.99097,7.37283,0.87103,0.00332579,0.00332579,0.00332579
2,377.168,1.34328,1.2959,1.1694,0.88878,0.82894,0.89938,0.53239,1.01999,3.2109,0.93951,0.0065932,0.0065932,0.0065932
3,560.272,1.39874,1.14072,1.22436,0.83234,0.80688,0.84311,0.4809,1.14442,8.15906,1.05504,0.00979461,0.00979461,0.00979461
4,739.215,1.43067,1.12246,1.2827,0.88471,0.78713,0.8746,0.49765,1.16207,2.87903,1.12808,0.009703,0.009703,0.009703
5,919.628,1.39051,1.03641,1.28184,0.93377,0.76819,0.9021,0.54247,1.06689,2.65039,1.04928,0.009604,0.009604,0.009604
6,1097.44,1.38167,1.00807,1.26819,0.89919,0.8043,0.90104,0.53056,1.01965,6.55368,1.00061,0.009505,0.009505,0.009505
7,1274.82,1.35094,0.96028,1.2617,0.89926,0.80829,0.90247,0.56243,0.99656,11.4298,0.97936,0.009406,0.009406,0.009406
8,1453.77,1.32384,0.91893,1.24275,0.95576,0.77908,0.91625,0.55198,1.04471,5.19477,0.96758,0.009307,0.009307,0.009307
9,1632.45,1.31388,0.89961,1.23198,0.93983,0.81748,0.92513,0.58284,0.98694,4.26943,0.95674,0.009208,0.009208,0.009208
10,1810.6,1.30501,0.88089,1.23895,0.93616,0.81777,0.93028,0.57593,0.9356,4.22971,0.93742,0.009109,0.009109,0.009109
11,1989.81,1.30034,0.85002,1.23265,0.94065,0.81289,0.93226,0.57519,0.9623,3.69527,0.95103,0.00901,0.00901,0.00901
12,2169.39,1.29538,0.84362,1.23606,0.96219,0.80086,0.92648,0.56546,0.98402,2.70273,1.01198,0.008911,0.008911,0.008911
13,2348.46,1.29549,0.83804,1.22915,0.95345,0.82162,0.93519,0.58095,0.94318,2.90965,0.94136,0.008812,0.008812,0.008812
14,2527.33,1.2775,0.81959,1.22379,0.96621,0.81124,0.94797,0.59647,0.92116,2.73808,0.9128,0.008713,0.008713,0.008713
15,2708.11,1.2494,0.79362,1.20235,0.95889,0.80876,0.92868,0.57364,0.93074,2.29516,0.93928,0.008614,0.008614,0.008614
16,2887.41,1.26181,0.78917,1.20775,0.95913,0.81356,0.945,0.57016,0.99141,2.05214,0.96483,0.008515,0.008515,0.008515
17,3065.46,1.25245,0.77787,1.21386,0.95363,0.83093,0.94794,0.61066,0.91238,3.07943,0.93811,0.008416,0.008416,0.008416
18,3242.46,1.24507,0.78492,1.21378,0.95569,0.82187,0.94519,0.60215,0.93143,2.91833,0.95871,0.008317,0.008317,0.008317
19,3421.21,1.22872,0.75269,1.20659,0.91545,0.85934,0.94584,0.62456,0.879,3.55321,0.91206,0.008218,0.008218,0.008218
20,3597.28,1.23025,0.74833,1.20572,0.9681,0.81834,0.93862,0.61553,0.9179,4.0631,0.91718,0.008119,0.008119,0.008119
